client_id;companyname;address;isshared;inworld_B;inworld_Z;inworld_I
1;SPW;NULL;NULL;1;;
2;SPF-FINANCES;NULL;NULL;1;;
3;VILLE CHARLEROI;NULL;NULL;1;;
4;SECUREX;NULL;NULL;;1;
5;UNMS;NULL;NULL;;1;1
6;SDWORX;NULL;NULL;;1;
7;ARCELOR-MITTAL;NULL;NULL;;1;
8;VILLE LIEGE;NULL;NULL;1;;
9;AGC AUTOMOTIVE BELGIUM;NULL;NULL;;1;
10;DIETEREN;NULL;NULL;;1;
11;ETNIC;NULL;NULL;;1;
12;ETHIAS;NULL;1;;1;
13;FMSB;NULL;NULL;;1;
14;SIBELGA;NULL;1;;1;
15;LLD;NULL;NULL;;1;
16;PARTENA;NULL;NULL;;1;1
17;VCST;NULL;NULL;;1;
18;NRB;NULL;1;1;1;1
19;RESA;NULL;1;;1;
20;AME-LIFE;NULL;1;;1;
21;PROVINCE LIEGE;NULL;1;;1;
22;IPEX;NULL;1;;1;
23;ACERTA;NULL;1;;1;
